,NOME,VALOR,DETALHES,ENDEREÇO
155,"Apartamento semi mobiliado no natal brisa em Pitimbu (satélite), próximo da br 101",R$ 1.900,"['2 quartos ', ' 55m² ', ' Condomínio: R$ 0 ', ' 1 vaga']",Pitimbu
156,Ótimo apartamento no Maison Petrópolis,R$ 8.500,"['5 ou mais quarto ', ' 384m² ', ' Condomínio: R$ 2.500 ', ' 4 vagas']",Rocas
157,Flat Interatlantico locação ou venda,R$ 1.900,"['1 quarto ', ' 0m²']",Petrópolis
158,Condomínio Quatro Estações; sombra; 2 quartos; 56m²; 1 vaga; em Candelária,R$ 1.600,"['2 quartos ', ' 56m² ', ' 1 vaga']",Candelária
159,Cond. Ecogarden; 47m²; 2/4; 1 vaga; em Ponta Negra,R$ 1.350,"['2 quartos ', ' 47m² ', ' 1 vaga']",Ponta Negra
160,Res. Sylvie Stefany; mobiliado; 3 quartos; 92m²; por trás do Praia Shopping em Ponta Negra,R$ 2.100,"['3 quartos ', ' 92m² ', ' 1 vaga']",Ponta Negra
161,"Corais de Ponta Negra; 3/4, sendo 1 suíte; 98m²; 2 vagas",R$ 2.100,"['3 quartos ', ' 98m² ', ' 2 vagas']",Ponta Negra
162,"Corais de Ponta Negra mobiliado; 3/4, sendo 1 suíte; 98m²; 2 vagas",R$ 2.950,"['3 quartos ', ' 98m² ', ' 2 vagas']",Ponta Negra
163,LD ldldldl - AP1178 aluga-se excelente apartamento bairro Cidade Satélite com 2/4,R$ 1.899,"['2 quartos ', ' 56m² ', ' Condomínio: R$ 1 ', ' 1 vaga']",Pitimbu
164,Orquidea Condominium; mobiliado; 78m²; 2 quartos; em Ponta Negra,R$ 2.500,"['2 quartos ', ' 78m² ', ' 1 vaga']",Ponta Negra
165,Residencial Ville De Nice; 3 quartos; 60m²; em Capim Macio,R$ 2.000,"['3 quartos ', ' 60m² ', ' 2 vagas']",Capim Macio
